Specie,COI NCBI,BOLD (COI),SILVA (18S),18s NCBI ,28s NCBI
Arturia alcatraziensis,0,0,0,0,0
Clathrina aurea ,0,0,0,1,1
Clathrina conifera ,0,0,0,1,1
Clathrina primordialis ,0,0,0,1,1
Clathrina sp. ,0,0,1,1,1
Clathrina tetractina ,0,0,0,1,1
Clathrina blanca,0,0,1,1,1
Leucascus roseus ,0,0,0,0,0
Paraleucilla magna ,0,0,1,1,1
Grantia sp.,0,0,0,1,1
Leucosolenia sp.,0,0,1,1,1
Sycon pentactinale,0,0,0,0,0
Sycon sp. ,0,0,0,1,1
Keratosa sp. (subclasse),0,0,0,0,0
Tetractinellida sp.,0,0,0,0,0
Asteropus brasiliensis ,0,0,0,0,0
Stelletta beae ,0,0,0,0,0
Stelletta sp. ,1,1,1,1,0
Erylus soesti ,0,0,0,0,0
Geodia corticostylifera ,1,1,0,0,1
Geodia gibberosa ,1,1,1,1,1
Geodia glariosa ,0,0,0,0,0
Geodia papyracea,1,1,0,0,1
Geodia sp. ,1,1,1,1,1
Characella pachastrelloides ,1,1,0,0,1
Pachastrella monilifera ,0,1,0,0,0
Vulcanella sp. ,0,0,0,0,0
Gastrophanella sp. ,0,0,0,0,1
Cinachyra sp. ,1,1,1,1,0
Cinachyrella alloclada ,0,1,1,1,1
Tetilla radiata ,0,0,0,0,1
Tetilla sp. ,0,0,0,0,0
Craniella sp. ,0,0,1,1,1
Thrombus sp. ,0,0,0,0,0
Chondrilla nucula ,1,1,1,1,1
Chondrosia reniformis ,1,1,1,1,1
Aplysilla rosea ,0,0,0,0,0
Aplysilla sp.,0,0,0,0,1
Chelonaplysilla erecta ,1,1,1,1,0
Darwinella rosacea ,0,1,0,0,0
Dysidea etheria ,0,0,1,1,1
Dysidea janiae ,0,0,1,1,0
Dysidea sp.,1,1,1,1,1
Euryspongia rosea ,0,0,0,0,0
Spongia catarinensis ,0,0,0,0,0
Hadromerida sp. (ordem),0,1,0,0,0
Cliona celata ,1,1,1,1,1
Cliona dioryssa ,0,0,0,0,0
Cliona sp.,0,1,1,1,1
Polymastia janeirensis ,1,1,0,0,0
Polymastia sp.,1,1,0,1,1
Radiella sp. ,1,1,0,0,1
Aaptos sp.,0,0,0,0,1
Suberites aurantiacus ,0,1,1,1,1
Suberites caminatus ,1,1,0,0,0
Terpios fugax,0,0,0,0,0
Terpios sp.,0,0,0,1,0
Amorphinopsis atlantica ,0,0,0,0,0
Ciocalypta alba ,0,0,0,0,0
Halichondria (Halichondria) cebimarensis ,0,0,0,0,0
Halichondria (Halichondria) migottea ,0,0,0,0,0
Halichondria (Halichondria) sulfurea ,0,0,0,0,0
Halichondria (Halichondria) tenebrica ,0,0,0,0,0
Halichondria sp. ,1,1,1,1,1
Hymeniacidon heliophila ,1,1,0,1,1
Topsentia sp. ,0,1,1,1,1
Halicometes minuta ,0,0,0,0,0
Tethya diploderma ,0,0,0,0,0
Tethya maza ,0,0,0,0,0
Timea authia ,0,0,0,0,0
"Timea n.sp. 1 (""Timea brasiliensis"")",0,0,0,0,0
"Timea n.sp. 2 (""Timea garoupai"")",0,0,0,0,0
"Timea n.sp. 3 (""Timea magnisphaera"")",0,0,0,0,0
"Timea n.sp. 4 (""Timea quadriradiata"")",0,0,0,0,0
"Timea n.sp. 5 (""Timea sulcata"")",0,0,0,0,0
"Timea n.sp. 6 (""Timea verrucosa"")",0,0,0,0,0
Timea sp. ,1,1,1,1,1
Timea stellata ,0,0,0,0,0
Trachycladus sp. ,0,0,1,1,1
Axinellidae sp. (família),0,0,1,1,1
Axinella corrugata ,0,1,1,1,1
Dragmacidon reticulatum ,0,0,0,1,0
Dragmaxia anomala ,0,0,0,0,0
Ptilocaulis marquezi ,1,1,0,0,0
Higginsia strigilata ,0,0,0,0,0
Aulospongus sp. ,0,0,1,1,1
Raspaciona sp. ,0,0,0,0,0
Raspailia (Raspaxilla) bouryesbautae ,0,0,0,0,0
Raspailia (Raspaxilla) phakellina ,0,0,0,0,0
Raspailia (Parasyringella) sp.,0,0,0,0,0
Bubaris sp. ,0,1,0,0,1
Scopalina ruetzleri ,1,1,1,1,1
Scopalina hispida ,0,0,0,1,1
Desmanthus meandroides ,0,0,0,0,0
Petromica (Chaladesma) citrina ,0,0,0,0,0
Haplosclerida sp. (ordem),0,0,1,1,0
Callyspongia (Callyspongia) pallida ,0,0,0,0,0
Callyspongia sp. ,1,1,1,1,1
Haliclona (Halichoclona) sp. ,1,1,0,0,1
Haliclona (Reniera) sp. ,1,0,0,0,0
Haliclona (Reniera) tubifera ,1,1,0,1,0
Haliclona (Soestella) melana ,0,0,0,0,0
Haliclona sp. ,1,1,1,1,1
Amphimedon erina ,0,0,0,1,0
Amphimedon viridis ,0,0,0,0,1
Pachychalina alcaloidifera ,0,1,0,0,0
Neopetrosia carbonaria ,0,1,1,1,1
Oceanapia nodosa ,0,0,0,0,0
Pachypellina sp. ,0,0,0,0,0
Forcepia sp. ,0,0,1,1,1
Lissodendoryx (Lissodendoryx) isodictyalis ,1,1,1,1,0
Lissodendoryx sp. ,1,1,1,1,1
Monanchora arbuscula ,0,1,1,1,1
Crella (Yvesia) sp. ,0,0,0,0,0
Esperiopsis bathyalis ,0,0,0,0,0
Guitarra sepia ,0,0,0,0,0
Sceptrella sp. ,0,0,0,0,0
Artemisina aff. melana ,1,1,1,1,0
Clathria (Microciona) campecheae ,0,0,0,0,0
Clathria sp.,0,0,1,1,1
Mycale (Aegogropila) americana,0,0,0,0,0
Mycale (Aegogropila) escarlatei ,0,0,0,0,0
Mycale (Aegogropila) lilianae ,0,0,0,0,0
Mycale (Arenochalina) laxissima ,0,1,1,1,0
Mycale (Carmia) magnirhaphidifera ,0,0,0,0,0
Mycale (Carmia) microsigmatosa ,0,0,1,1,0
Mycale (Mycale) beatrizae,0,0,0,0,0
Mycale (Naviculina) arcuiris,0,0,0,0,0
Mycale (Naviculina) purpurata,0,0,0,0,0
Mycale (Zygomycale) angulosa ,0,0,1,1,0
Mycale sp.,1,1,1,1,1
Myxilla (Ectyomyxilla) chilensis,0,0,0,0,0
Myxilla (Myxilla) mucronata ,0,0,0,0,0
Hymenancora tenuissima ,0,0,0,0,0
Myxilla sp. ,1,1,0,0,0
Tedania (Tedania) brasiliensis ,0,0,0,0,0
Tedania (Tedania) ignis ,1,1,1,1,1
Trachytedania biraphidora,0,0,0,0,0
Tedania sp. ,0,0,1,1,1
Desmacella aff. pumilio,0,0,1,1,0
Desmacella annexa ,0,0,0,1,1
Desmacella sp. ,0,0,0,0,0
Hamacantha (Hamacantha) microxifera ,0,0,0,0,0
Hamacantha sp. 2 ,0,0,0,0,0
Hamacantha sp. 3,0,0,0,0,0
Rhabderemia besnardi ,0,0,0,0,0
Rhabderemia uruguaiensis ,0,0,0,0,0
Aplysina caissara ,0,0,0,1,0
Aplysina fulva ,1,1,1,1,1
Aplysina sp. ,1,1,1,1,1
Hyalonema sp. ,1,1,1,1,1